term,page,page_num,chapter,ch_title,formatted
datasets!peng,65,65,4,Plots of Multivariate Data,datasets!\texttt{peng}
heplots,65,65,4,Plots of Multivariate Data,\texttt{heplots} package
packages!heplots,65,65,4,Plots of Multivariate Data,packages!\texttt{heplots}
penguins,66,66,4,Plots of Multivariate Data,\texttt  {penguins} data
datasets!penguins,66,66,4,Plots of Multivariate Data,datasets!\texttt  {penguins}
datasets,66,66,4,Plots of Multivariate Data,\texttt  {datasets} package
packages!datasets,66,66,4,Plots of Multivariate Data,packages!\texttt  {datasets}
peng,66,66,4,Plots of Multivariate Data,\texttt  {peng} data
datasets!peng,66,66,4,Plots of Multivariate Data,datasets!\texttt  {peng}
heplots,66,66,4,Plots of Multivariate Data,\texttt  {heplots} package
packages!heplots,66,66,4,Plots of Multivariate Data,packages!\texttt  {heplots}
theme_penguins(),68,68,4,Plots of Multivariate Data,\texttt{theme\_penguins()}
legend_inside(),68,68,4,Plots of Multivariate Data,\texttt{legend\_inside()}
visual thinning,68,68,4,Plots of Multivariate Data,NA
data ellipse,69,69,4,Plots of Multivariate Data,NA
visual thinning,69,69,4,Plots of Multivariate Data,NA
bagplot,70,70,4,Plots of Multivariate Data,NA
depth,70,70,4,Plots of Multivariate Data,NA
gggda,70,70,4,Plots of Multivariate Data,\texttt{gggda} package
packages!gggda,70,70,4,Plots of Multivariate Data,packages!\texttt{gggda}
stat_bagplot(),70,70,4,Plots of Multivariate Data,\texttt{stat\_bagplot()}
outliers,70,70,4,Plots of Multivariate Data,NA
bagplot,70,70,4,Plots of Multivariate Data,NA
non-parametric!bivariate density plot,71,71,4,Plots of Multivariate Data,NA
bivariate density plot,71,71,4,Plots of Multivariate Data,NA
density(),71,71,4,Plots of Multivariate Data,\texttt{density()}
geom_density(),71,71,4,Plots of Multivariate Data,\texttt{geom\_density()}
kde2d(),71,71,4,Plots of Multivariate Data,\texttt{kde2d()}
geom_density_2d(),71,71,4,Plots of Multivariate Data,\texttt{geom\_density\_2d()}
kde2d(),71,71,4,Plots of Multivariate Data,\texttt{kde2d()}
ggdensity,71,71,4,Plots of Multivariate Data,\texttt{ggdensity} package
packages!ggdensity,71,71,4,Plots of Multivariate Data,packages!\texttt{ggdensity}
geom_hdr(),71,71,4,Plots of Multivariate Data,\texttt{geom\_hdr()}
high density region,71,71,4,Plots of Multivariate Data,NA
geom_density_2d(),71,71,4,Plots of Multivariate Data,\texttt{geom\_density\_2d()}
geom_hdr(),71,71,4,Plots of Multivariate Data,\texttt{geom\_hdr()}
non-parametric!bivariate density plot,72,72,4,Plots of Multivariate Data,NA
bivariate density plot,72,72,4,Plots of Multivariate Data,NA
Simpson's paradox,73,73,4,Plots of Multivariate Data,NA
Simpson's paradox,74,74,4,Plots of Multivariate Data,NA
multivariate normality,74,74,4,Plots of Multivariate Data,NA
outliers,74,74,4,Plots of Multivariate Data,NA
$\chi^2$ QQ plot,74,74,4,Plots of Multivariate Data,NA
Mahalanobis(),75,75,4,Plots of Multivariate Data,\texttt{Mahalanobis()}
cqplot(),75,75,4,Plots of Multivariate Data,\texttt{cqplot()}
uncertainty,76,76,4,Plots of Multivariate Data,NA
geom_text(),78,78,4,Plots of Multivariate Data,\texttt{geom\_text()}
multivariate normality,80,80,4,Plots of Multivariate Data,NA
outliers,80,80,4,Plots of Multivariate Data,NA
scatterplot matrix,80,80,4,Plots of Multivariate Data,NA
scatterplotMatrix(),80,80,4,Plots of Multivariate Data,\texttt{scatterplotMatrix()}
hue_pal(),81,81,4,Plots of Multivariate Data,\texttt{hue\_pal()}
visual thinning,85,85,4,Plots of Multivariate Data,NA
visual thinning,85,85,4,Plots of Multivariate Data,NA
scatterplot matrix,85,85,4,Plots of Multivariate Data,NA
corrgram,86,86,4,Plots of Multivariate Data,NA
corrgram,87,87,4,Plots of Multivariate Data,\texttt{corrgram} package
packages!corrgram,87,87,4,Plots of Multivariate Data,packages!\texttt{corrgram}
corrplot,87,87,4,Plots of Multivariate Data,\texttt{corrplot} package
packages!corrplot,87,87,4,Plots of Multivariate Data,packages!\texttt{corrplot}
corrgram(),87,87,4,Plots of Multivariate Data,\texttt{corrgram()}
corrplot,87,87,4,Plots of Multivariate Data,\texttt{corrplot} package
packages!corrplot,87,87,4,Plots of Multivariate Data,packages!\texttt{corrplot}
corrgram,90,90,4,Plots of Multivariate Data,NA
scatterplot matrix!generalized,90,90,4,Plots of Multivariate Data,NA
vcd,90,90,4,Plots of Multivariate Data,\texttt{vcd} package
packages!vcd,90,90,4,Plots of Multivariate Data,packages!\texttt{vcd}
vcdExtra,90,90,4,Plots of Multivariate Data,\texttt{vcdExtra} package
packages!vcdExtra,90,90,4,Plots of Multivariate Data,packages!\texttt{vcdExtra}
pairs(),90,90,4,Plots of Multivariate Data,\texttt{pairs()}
GGally,92,92,4,Plots of Multivariate Data,\texttt{GGally} package
packages!GGally,92,92,4,Plots of Multivariate Data,packages!\texttt{GGally}
Simpson's paradox,92,92,4,Plots of Multivariate Data,NA
ggpairs(),93,93,4,Plots of Multivariate Data,\texttt{ggpairs()}
ggally_cor(),93,93,4,Plots of Multivariate Data,\texttt{ggally\_cor()}
ggally_points(),94,94,4,Plots of Multivariate Data,\texttt{ggally\_points()}
ggally_densityDiag(),94,94,4,Plots of Multivariate Data,\texttt{ggally\_densityDiag()}
ggally_barDiag(),94,94,4,Plots of Multivariate Data,\texttt{ggally\_barDiag()}
scatterplot matrix!generalized,95,95,4,Plots of Multivariate Data,NA
parallel coordinate plots,95,95,4,Plots of Multivariate Data,NA
ggpcp,96,96,4,Plots of Multivariate Data,\texttt{ggpcp} package
packages!ggpcp,96,96,4,Plots of Multivariate Data,packages!\texttt{ggpcp}
pcp_select(),97,97,4,Plots of Multivariate Data,\texttt{pcp\_select()}
pcp_scale(),97,97,4,Plots of Multivariate Data,\texttt{pcp\_scale()}
pcp_arrange(),97,97,4,Plots of Multivariate Data,\texttt{pcp\_arrange()}
parcoord(),97,97,4,Plots of Multivariate Data,\texttt  {parcoord()}
ggparcoord(),97,97,4,Plots of Multivariate Data,\texttt  {ggparcoord()}
pcp(),97,97,4,Plots of Multivariate Data,\texttt  {pcp()}
ggpcp,97,97,4,Plots of Multivariate Data,\texttt  {ggpcp} package
packages!ggpcp,97,97,4,Plots of Multivariate Data,packages!\texttt  {ggpcp}
ordering!variables,98,98,4,Plots of Multivariate Data,NA
