"term","page","formatted"
"factors!ordered","191",NA
"contrasts!polynomial","192",NA
"contrasts!polynomial","193",NA
"contrasts!orthogonal","194",NA
"contrasts!nested dichotomies","194",NA
"contrasts","196",NA
"coefficient plots","197",NA
"added-variable plots","197",NA
"collinearity","198",NA
"car","198","\texttt{car} package"
"packages!car","198","packages!\texttt{car}"
"regression quartet","198",NA
"quartet!regression","198",NA
"car","199","\texttt{car} package"
"packages!car","199","packages!\texttt{car}"
"performance","199","\texttt{performance} package"
"packages!performance","199","packages!\texttt{performance}"
"easystats","199","\texttt{easystats} package"
"packages!easystats","199","packages!\texttt{easystats}"
"regression quartet","199",NA
"quartet!regression","199",NA
"Duncan occupational prestige","199",NA
"model_parameters()","200","\texttt{model\_parameters()}"
"linearHypothesis()","200","\texttt{linearHypothesis()}"
"Wald test","201",NA
"Duncan occupational prestige","202",NA
"regression quartet","202",NA
"diagnostic plots","202",NA
"check_model()","203","\texttt{check\_model()}"
"car","203","\texttt{car} package"
"packages!car","203","packages!\texttt{car}"
"diagnostic plots","203",NA
"Canadian occupational prestige","203",NA
"Prestige","203","\texttt{Prestige} data"
"datasets!Prestige","203","datasets!\texttt{Prestige}"
"ordering!factor levels","204",NA
"Canadian occupational prestige","206",NA
"coeftest()","207","\texttt{coeftest()}"
"tidy()","207","\texttt{tidy()}"
"modelsummary","207","\texttt{modelsummary} package"
"packages!modelsummary","207","packages!\texttt{modelsummary}"
"get_gof()","208","\texttt{get\_gof()}"
"coefficient plots","208",NA
"scale_y_discrete()","209","\texttt{scale\_y\_discrete()}"
"ggstats","211","\texttt{ggstats} package"
"packages!ggstats","211","packages!\texttt{ggstats}"
"ggcoef_model()","211","\texttt{ggcoef\_model()}"
"ggcoef_compare()","211","\texttt{ggcoef\_compare()}"
"ggcoef_model()","213","\texttt{ggcoef\_model()}"
"coefficient plots","213",NA
"added-variable plots","214",NA
"coffee","214","\texttt{coffee} data"
"datasets!coffee","214","datasets!\texttt{coffee}"
"matlib","214","\texttt{matlib} package"
"packages!matlib","214","packages!\texttt{matlib}"
"lsfit()","216","\texttt{lsfit()}"
"avPlot()","217","\texttt{avPlot()}"
"avPlots()","217","\texttt{avPlots()}"
"added-variable plots","218",NA
"marginal--conditional plots","218",NA
"mcPlot()","218","\texttt{mcPlot()}"
"mcPlots()","218","\texttt{mcPlots()}"
"Simpson's paradox","218",NA
"component + residual plots","221",NA
"crPlots()","221","\texttt{crPlots()}"
"crPlot()","221","\texttt{crPlot()}"
"effect plots","224",NA
"ggeffects","225","\texttt{ggeffects} package"
"packages!ggeffects","225","packages!\texttt{ggeffects}"
"marginaleffects","225","\texttt{marginaleffects} package"
"packages!marginaleffects","225","packages!\texttt{marginaleffects}"
"effects","225","\texttt{effects} package"
"packages!effects","225","packages!\texttt{effects}"
"lattice","225","\texttt{lattice} package"
"packages!lattice","225","packages!\texttt{lattice}"
"effect plots","229",NA
"outliers","230",NA
"leverage","230",NA
"influence","230",NA
"Mahalanobis distance","231",NA
"leverage-influence quartet","231",NA
"quartet!leverage-influence","231",NA
"geom_smooth()","232","\texttt{geom\_smooth()}"
"leverage-influence quartet","233",NA
"quartet!leverage-influence","233",NA
"Mahalanobis()","235","\texttt{Mahalanobis()}"
"outliers","238",NA
"leverage","238",NA
"influence","238",NA
"influence plots","238",NA
"influencePlot()","238","\texttt{influencePlot()}"
"influence plots","240",NA
"added-variable plots!influence","240",NA
"added-variable plots!influence","241",NA
"car","242","\texttt{car} package"
"packages!car","242","packages!\texttt{car}"
"performance","242","\texttt{performance} package"
"packages!performance","242","packages!\texttt{performance}"
"data space","244",NA
"$\beta$ space","244",NA
"data ellipse","244",NA
"ordinary least squares","244",NA
"duality","244",NA
"confidence ellipse","246",NA
"confidenceEllipse()","246","\texttt{confidenceEllipse()}"
"simultaneous inference","247",NA
"Scheff̩ confidence intervals","247",NA
"Bonferroni correction","247",NA
"confidence ellipse","248",NA
"data space","248",NA
"$\beta$ space","248",NA
"measurement error","248",NA
"Gauss-Markov theorem","248",NA
"ordinary least squares!BLUE","248",NA
"errors-in-variables","248",NA
"measurement error quartet","250",NA
"quartet!measurement error","250",NA
"attenuation bias","250",NA
"nest_by()","251","\texttt{nest\_by()}"
"mutate()","251","\texttt{mutate()}"
"measurement error","254",NA
"uncertainty","254",NA
"data space","254",NA
"$\beta$ space","254",NA
"measurement error","255",NA
"VisCollin","257","\texttt{VisCollin} package"
"packages!VisCollin","257","packages!\texttt{VisCollin}"
"collinearity","257",NA
"tableplots","257",NA
"genridge","257","\texttt{genridge} package"
"packages!genridge","257","packages!\texttt{genridge}"
"collinearity","258",NA
"ipsatized scores","260",NA
"data space","261",NA
"$\beta$ space","261",NA
"dataEllipse()","262","\texttt{dataEllipse()}"
"confidenceEllipse()","262","\texttt{confidenceEllipse()}"
"variance inflation factor","264",NA
"VIF","264",NA
"collinearity!variance inflation factor","264",NA
"variance inflation factor!generalized","265",NA
"vif()","265","\texttt{vif()}"
"vif()","266","\texttt{vif()}"
"variance inflation factor","266",NA
"VIF","266",NA
"variance inflation factor!plot","267",NA
"vif()","267","\texttt{vif()}"
"easystats","267","\texttt{easystats} package"
"packages!easystats","267","packages!\texttt{easystats}"
"check_collinearity()","267","\texttt{check\_collinearity()}"
"condition indices","268",NA
"colldiag()","269","\texttt{colldiag()}"
"tableplots","270",NA
"tableplots","270",NA
"collinearity!biplot","271",NA
"biplot!collinearity","271",NA
"fviz_pca_biplot()","272","\texttt{fviz\_pca\_biplot()}"
"geom_text_repel()","272","\texttt{geom\_text\_repel()}"
"outliers","273",NA
"collinearity!biplot","273",NA
"biplot!collinearity","273",NA
"collinearity!remedies for","274",NA
"genridge","275","\texttt{genridge} package"
"packages!genridge","275","packages!\texttt{genridge}"
"centering!effect on collinearity","275",NA
"collinearity!centering","275",NA
"centering!effect on collinearity","276",NA
"collinearity!centering","276",NA
"Acetylene","277","\texttt{Acetylene} data"
"datasets!Acetylene","277","datasets!\texttt{Acetylene}"
"genridge","277","\texttt{genridge} package"
"packages!genridge","277","packages!\texttt{genridge}"
"rsm","277","\texttt  {rsm} package"
"packages!rsm","277","packages!\texttt  {rsm}"
"vif()","278","\texttt{vif()}"
"collinearity!remedies for","278",NA
"collinearity","278",NA
"ridge regression","278",NA
"bias!ridge regression","278",NA
"model selection","278",NA
"LASSO","279",NA
"LAR regression","279",NA
"ridge trace plots!univariate","279",NA
"locus of osculation","280",NA
"ellipses!locus of osculation","280",NA
"singular value decomposition","281",NA
"MASS","281","\texttt{MASS} package"
"packages!MASS","281","packages!\texttt{MASS}"
"glmnet","281","\texttt{glmnet} package"
"packages!glmnet","281","packages!\texttt{glmnet}"
"penalized","281","\texttt{penalized} package"
"packages!penalized","281","packages!\texttt{penalized}"
"glmnet()","281","\texttt{glmnet()}"
"genridge","282","\texttt{genridge} package"
"packages!genridge","282","packages!\texttt{genridge}"
"ridge trace plots!univariate","282",NA
"longley","282","\texttt{longley} data"
"datasets!longley","282","datasets!\texttt{longley}"
"LASSO","284",NA
"model selection","284",NA
"best subset regression","284",NA
"ridge trace plots!univariate","285",NA
"ridge trace plots!bivariate","285",NA
"ridge trace plots!bivariate","286",NA
"pca()","290","\texttt{pca()}"
"singular value decomposition","290",NA
"ridge regression!biplot","290",NA
"biplot!ridge regression","290",NA
"ridge regression!biplot","291",NA
"biplot!ridge regression","291",NA
"ridge regression","291",NA
"uncertainty","292",NA
"Hotelling $T^2$","297",NA
"variance-covariance matrix","298",NA
"Mahalanobis distance","298",NA
"linear combination","299",NA
"eigenvalue","299",NA
"Wilks lambda","299",NA
"Pillai trace","299",NA
"Roy maximum root test","299",NA
"eigenvector","300",NA
"discriminant analysis!coefficients","300",NA
"exact test","300",NA
"invariance!linear transformation","300",NA
"pooled covariance matrix","300",NA
"mathscore","300","\texttt{mathscore} data"
